# Constructed from biom file
#OTU ID	ERR2850005	ERR2850006	ERR2850008	ERR2850009	ERR2850010	ERR2850013	ERR2850014	ERR2850015	ERR2850016	ERR2850017	ERR2850019	ERR2850020	ERR2850021	ERR2850022	ERR2850023	ERR2850024	ERR2850025	ERR2850026	ERR2850030	ERR2850031	ERR2850032	ERR2850035	ERR2850036	ERR2850037	ERR2850038	ERR2850039	ERR2850040	ERR2850041	ERR2850043	ERR2850044	ERR2850046	ERR2850047	ERR2850048	ERR2850049	ERR2850051	ERR2850052	ERR2850054	ERR2850058	ERR2850059	ERR2850060
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	257.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.0	88.0	0.0	80.0	0.0	0.0	2.0	32.0	0.0	77.0	0.0	144.0	0.0	171.0	106.0	0.0	0.0	0.0	8607.0	0.0	0.0	7.0	29.0	11759.0	0.0	7.0	28.0	6.0	693.0	0.0	0.0	0.0	12.0	39.0	0.0	0.0	0.0	33.0	17.0	3.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	78.0	0.0	0.0	29.0	0.0	0.0	0.0	308.0	0.0	0.0	0.0	0.0	342.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella	0.0	109.0	5.0	46.0	81.0	0.0	4.0	18.0	3.0	153.0	5.0	279.0	0.0	0.0	167.0	0.0	0.0	17.0	4.0	0.0	0.0	20.0	14.0	8308.0	8.0	10.0	337.0	11.0	905.0	87.0	15.0	19.0	22.0	13.0	649.0	0.0	0.0	90.0	15.0	17.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	4.0	15.0	7.0	32.0	20.0	8.0	0.0	18.0	0.0	23.0	0.0	39.0	0.0	190.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	18.0	51.0	540.0	0.0	0.0	9.0	0.0	2.0	2.0	0.0	5.0	6.0	5.0	2.0	0.0	0.0	0.0	15.0	7.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	4.0	0.0	0.0	29.0	60.0	0.0	0.0	0.0	6.0	0.0	0.0	3.0	0.0	312.0	277.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	3.0	5.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Fastidiosipila	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Bergeyella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	79.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	1873.0	0.0	3.0	0.0	0.0	442.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Floricoccus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	4.0	293.0	0.0	109.0	29.0	0.0	0.0	134.0	6.0	52.0	3.0	144.0	14.0	113.0	134.0	3.0	0.0	0.0	12580.0	6.0	0.0	2.0	10.0	24248.0	0.0	24.0	78.0	385.0	492.0	22.0	11.0	0.0	15.0	63.0	83.0	6.0	0.0	60.0	11.0	12.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__W5053	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
