# Constructed from biom file
#OTU ID	ERR2206632	ERR2206633	ERR2206636	ERR2206637	ERR2206638	ERR2206639	ERR2206640	ERR2206642	ERR2206644	ERR2206645	ERR2206646	ERR2206647	ERR2206648	ERR2206649	ERR2206650	ERR2206651	ERR2206652	ERR2206653	ERR2206668	ERR2206669	ERR2206670	ERR2206671	ERR2206672
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alteromonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	428.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__JGI_0000069-P22;f__JGI_0000069-P22;g__JGI_0000069-P22	0.0	0.0	398.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	318.0	0.0	0.0	0.0	136.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	1300.0	660.0	292.0	2021.0	1852.0	1466.0	19557.0	5053.0	7566.0	8712.0	5525.0	5302.0	2460.0	6237.0	1222.0	5147.0	7696.0	10937.0	1400.0	1869.0	0.0	0.0	9.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__NS11-12_marine_group;g__NS11-12_marine_group	1622.0	131.0	6.0	314.0	427.0	0.0	0.0	968.0	0.0	0.0	0.0	796.0	874.0	253.0	0.0	425.0	251.0	0.0	2.0	823.0	525.0	237.0	1018.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Cyanobium_PCC-6307	976.0	0.0	530.0	0.0	561.0	500.0	278.0	874.0	3004.0	0.0	3483.0	0.0	0.0	0.0	410.0	35.0	0.0	0.0	1400.0	3707.0	542.0	204.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Psychromonadaceae;g__Agarivorans	0.0	191.0	0.0	559.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__PeM15;f__PeM15;g__PeM15	408.0	0.0	0.0	0.0	0.0	372.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	608.0	0.0	239.0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;__;__;__	0.0	0.0	0.0	9.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;__;__	639.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	1053.0	0.0	0.0	0.0	158.0	0.0	0.0	0.0	303.0	378.0	512.0	0.0	525.0	312.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	0.0	0.0	0.0	0.0	81.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	14.0	0.0	2364.0	517.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__uncultured	0.0	0.0	0.0	0.0	0.0	0.0	0.0	240.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas	708.0	929.0	1704.0	1883.0	1073.0	799.0	1494.0	1074.0	1010.0	776.0	606.0	1342.0	1332.0	576.0	927.0	919.0	0.0	53.0	121.0	390.0	0.0	169.0	42.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__AEGEAN-169_marine_group;g__AEGEAN-169_marine_group	0.0	0.0	0.0	0.0	0.0	0.0	558.0	0.0	1665.0	0.0	0.0	0.0	398.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__DEV007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	608.0	741.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;__	0.0	0.0	0.0	730.0	550.0	406.0	571.0	1445.0	865.0	0.0	0.0	0.0	1278.0	585.0	82.0	393.0	0.0	0.0	0.0	0.0	0.0	0.0	533.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Gordonia	0.0	0.0	123.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas	0.0	142.0	0.0	0.0	0.0	0.0	7.0	187.0	0.0	0.0	0.0	0.0	285.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	472.0	45.0	425.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Candidatus_Riegeria	770.0	0.0	337.0	138.0	0.0	450.0	0.0	660.0	702.0	0.0	169.0	349.0	459.0	0.0	992.0	0.0	310.0	0.0	688.0	0.0	678.0	0.0	296.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Hydrogenophilaceae;g__Thiobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	844.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	218.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__;__	0.0	0.0	1007.0	0.0	0.0	0.0	309.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
