# Constructed from biom file
#OTU ID	ERR1662646	ERR1662647	ERR1662648	ERR1662649	ERR1662651	ERR1662655	ERR1662656	ERR1662657	ERR1662659	ERR1662661	ERR1662663	ERR1662664	ERR1662665	ERR1662669	ERR1662672	ERR1662673	ERR1662675	ERR1662678	ERR1662679	ERR1662682	ERR1662683	ERR1662684	ERR1662685	ERR1662689	ERR1662690	ERR1662732	ERR1662735	ERR1662741
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium-Methylorubrum	0.0	19.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__uncultured	26.0	0.0	0.0	6.0	8.0	92.0	3.0	68.0	16.0	7.0	7.0	34.0	21.0	0.0	15.0	8.0	69.0	16.0	2.0	0.0	45.0	0.0	34.0	11.0	0.0	66.0	0.0	7.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.0	0.0	0.0	0.0	12.0	5.0	0.0	48.0	0.0	0.0	0.0	2.0	1.0	501.0	2.0	7.0	0.0	5.0	0.0	91.0	0.0	5.0	0.0	65.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;__	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum	5.0	0.0	6.0	29.0	57.0	43.0	127.0	203.0	45.0	10.0	68.0	52.0	64.0	55.0	33.0	16.0	102.0	52.0	11.0	23.0	17.0	12.0	122.0	182.0	3.0	43.0	37.0	46.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Filifactor	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	1.0	0.0	18.0	0.0	0.0	175.0	0.0	5.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Selenomonas	49.0	0.0	14.0	2.0	16.0	37.0	31.0	14.0	62.0	10.0	6.0	54.0	120.0	39.0	58.0	10.0	32.0	18.0	16.0	10.0	6.0	14.0	592.0	568.0	5.0	12.0	62.0	8.0
