# Constructed from biom file																																	
#OTU ID	SRR7949577	SRR7949582	SRR7949585	SRR7949590	SRR7949592	SRR7949598	SRR7949600	SRR7949604	SRR7949607	SRR7949609	SRR7949610	SRR7949612	SRR7949614	SRR7949615	SRR7949616	SRR7949617	SRR7949618	SRR7949619	SRR7949620	SRR7949621	SRR7949623	SRR7949626	SRR7949628	SRR7949629	SRR7949631	SRR7949633	SRR7949634	SRR7949635	SRR7949636	SRR7949641	SRR7949647	SRR79495901	SRR79495902
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__	1855	0	0	0	0	0	0	0	0	0	0	1526	0	0	3453	0	0	0	567	0	0	0	0	0	325	1004	0	2434	936	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	249	23	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella	0	39	31	0	0	0	0	0	0	0	0	0	53	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__	0	0	0	57	0	0	0	0	0	38	0	0	28	0	118	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	169	29	0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	74	354	32	0	0	0	0	0	0	0	0	0	0	0	177
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Selenomonas	0	0	26	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Kocuria	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	114	0	46	0	0	49	49
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0	37	17	0	0	0	0	0	0	105	0	0	0	0	318	0	0	1342	60	0	0	0	0	0	47	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Finegoldia	140	0	0	332	0	370	1360	0	50	0	610	0	953	522	202	0	129	712	384	3236	335	319	48	13	288	0	900	184	3081	224	341	166	1618
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter	0	0	0	0	0	0	0	0	0	0	28	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__F0332	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseomonas	0	0	0	0	0	0	0	0	0	0	0	65	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	403	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc	0	216	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	490	466	0	0	0	0	0	12	0	0	0	0	0	0	0	0
